"code","name","description","habitat","code_lumbierres","thr_low","thr_mid","thr_high","thr_low_code","thr_mid_code","thr_high_code"
"H1","Forest","Forest consists of a continuous stand of trees and includes both forested areas (generally with a closed canopy) and wooded areas.","Forest",1,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%)/cropland (<50%); Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",NA,"Tree cover, broadleaved, evergreen, closed to open (>15%); Tree cover, broadleaved, deciduous, closed to open (>15%); Tree cover, needleleaved, evergreen, closed to open (>15%); Tree cover, mixed leaf type (broadleaved and needleleaved); Tree cover, flooded, fresh or brakish water","40; 100",NA,"50; 60; 61; 62; 70; 71; 72; 90; 160"
"H2","Savanna","Savannas are transitional between grasslands and forests. They are ecosystems dominated by a grass ground cover with an overstorey of widely spaced trees and shrubs.","Savanna",2,"Mosaic cropland (>50%) /natural vegetation (tree, shrub, herbaceous cover)(<50%)","Cropland, rainfed; Cropland, rainfed: herbaceous cover; Tree cover, broadleaved, deciduous, closed to open (>15%); Mosaic herbaceous cover (>50%) / tree and shrub (<50%); Grassland; Sparse vegetation (tree, shrub,herbaceous cover)(<15%); Shrub or herbaceous cover, flooded, fresh/ saline/brakish water","Shrubland","30","10; 11; 60; 61; 62; 110; 130; 150; 151; 152; 153; 180","120; 121; 122"
"H3","Shrubland","Also referred to as scrub, bushland and thicket.","Shrubland",3,"Mosaic cropland (>50%) /natural vegetation (tree, shrub, herbaceous cover)(<50%); Mosaic tree and shrub (>50%) / herbaceous cover (<50%); Mosaic herbaceous cover (>50%) / tree and shrub (<50%); Shrub or herbaceous cover, flooded, fresh/ saline/brakish water","Cropland, rainfed; Tree cover, broadleaved, deciduous, closed to open (>15%); Grassland","Shrubland; Sparse vegetation (tree, shrub,herbaceous cover)(<15%); Bare areas","30; 100; 110; 180","10; 60; 61; 62; 130","120; 121; 122; 150; 151; 152; 153; 200; 201; 202"
"H4","Grassland","Native grasslands are comprised of grasses and broadleaved herbaceous plants, and are either without woody plants, or the latter are very sparsely distributed.","Grassland",4,"Mosaic cropland (>50%) /natural vegetation (tree, shrub, herbaceous cover)(<50%); Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%)/cropland (<50%); Shrubland","Cropland, rainfed; Cropland, rainfed: herbaceous cover; Cropland irrigated or post-flooding; Mosaic herbaceous cover (>50%) / tree and shrub (<50%); Bare areas","Grassland; Sparse vegetation (tree, shrub,herbaceous cover)(<15%)","30; 40; 120; 121; 122","10; 11; 20; 110; 200; 201; 202","130; 150; 151; 152; 153"
"H5","Wetlands","Areas of marsh, fen, peatland or water, whether natural or artificial, permanent or temporary, with water that is static or flowing, fresh, brackish or salt, including areas of marine water the depth of which at low tide does not exceed six meters.","Wetlands",5,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%)/cropland (<50%); Mosaic tree and shrub (>50%) / herbaceous cover (<50%); Grassland","Cropland, rainfed; Cropland, rainfed: herbaceous cover; Mosaic cropland (>50%) /natural vegetation (tree, shrub, herbaceous cover)(<50%); Tree cover, broadleaved, deciduous, closed to open (>15%); Tree cover, mixed leaf type (broadleaved and needleleaved); Urban area","Cropland irrigated or post-flooding; Tree cover, needleleaved, deciduous, closed to open (>15%); Tree cover, flooded, fresh or brakish water; Tree cover, flooded, saline water; Shrub or herbaceous cover, flooded, fresh/ saline/brakish water; Water bodies","40; 100; 130","10; 11; 30; 60; 61; 62; 90; 190","20; 80; 81; 82; 160; 170; 180; 210; 220"
"H6","Rocky Areas","Cliffs, mountain peaks, talus, feldmark.","Rocky areas",6,NA,"Shrubland","Tree cover, needleleaved, evergreen, closed to open (>15%); Grassland; Sparse vegetation (tree, shrub,herbaceous cover)(<15%); Bare areas",NA,"120; 121; 122","70; 71; 72; 130; 150; 151; 152; 153; 200; 201; 202"
"H8","Desert","Consists of arid landscapes with a sparse plant cover, except in depressions where water accumulates. The sandy, stony, or rocky substrate contributes more to the appearance of the landscape than does the vegetation.","Desert",8,"Grassland","Shrubland","Sparse vegetation (tree, shrub,herbaceous cover)(<15%); Bare areas","130","120; 121; 122","150; 151; 152; 153; 200; 201; 202"
"H14.1","Artificial arable and pasture lands: Arable Land","Includes cereal fields, rice paddies, perennial crops, orchards and groves.","Artificial arable and pasture lands",141,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%)/cropland (<50%); Mosaic tree and shrub (>50%) / herbaceous cover (<50%); Grassland; Shrub or herbaceous cover, flooded, fresh/ saline/brakish water; Water bodies","Cropland, rainfed; Mosaic cropland (>50%) /natural vegetation (tree, shrub, herbaceous cover)(<50%)","Cropland, rainfed: herbaceous cover; Cropland irrigated or post-flooding; Urban area","40; 100; 130; 180; 210; 220","10; 30","11; 20; 190"
"H14.2","Artificial arable and pasture lands: Pastureland","Includes fertilized or re-seeded permanent grasslands, sometimes treated with selective herbicides, with very impoverished flora and fauna. Also includes secondary grasslands and wooded farmland.","Artificial arable and pasture lands",141,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%)/cropland (<50%); Mosaic tree and shrub (>50%) / herbaceous cover (<50%); Grassland; Shrub or herbaceous cover, flooded, fresh/ saline/brakish water; Water bodies","Cropland, rainfed; Mosaic cropland (>50%) /natural vegetation (tree, shrub, herbaceous cover)(<50%)","Cropland, rainfed: herbaceous cover; Cropland irrigated or post-flooding; Urban area","40; 100; 130; 180; 210; 220","10; 30","11; 20; 190"
"H14.3","Artificial degraded forest and plantation: Plantations","A plantation is an intentional planting of a crop, on a larger scale, usually for uses other than cereal production or pasture. The term is currently most often used for plantings of trees and shrubs. The term tends also to be used for plantings maintained on economic bases other than that of subsistence farming.","Artificial degraded forest and plantation",143,"Cropland, rainfed; Mosaic cropland (>50%) /natural vegetation (tree, shrub, herbaceous cover)(<50%); Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%)/cropland (<50%)","Cropland, rainfed: tree or shrub cover; Cropland irrigated or post-flooding; Tree cover, flooded, saline water; Urban area",NA,"10; 30; 40","12; 20; 170; 190",NA
